size,density,seed,spada_cyc_per_mac,flex_op_cyc_per_mac,flex_gust_cyc_per_mac,segfold_cyc_per_mac
128,0.05,0,0.273514,0.657463,1.15147,0.123787
128,0.05,1,0.269699,0.624847,1.07975,0.111771
128,0.07,0,0.140521,0.484525,0.80819,0.0871931
128,0.07,1,0.147236,0.488028,0.82123,0.0938104
128,0.07,2,0.149279,0.488417,0.82269,0.09274
128,0.1,0,0.0817776,0.353003,0.583267,0.0772953
128,0.1,1,0.0806808,0.356007,0.576925,0.0746727
128,0.1,2,0.0828743,0.356674,0.599527,0.0792503
128,0.15,0,0.0524309,0.207138,0.375854,0.0632392
128,0.15,1,0.0532998,0.206206,0.356038,0.0638538
128,0.15,2,0.059806,0.210592,0.366868,0.06432
128,0.2,0,0.0404477,0.128293,0.249505,0.0567436
128,0.2,1,0.0377297,0.128758,0.243604,0.0536442
128,0.2,2,0.0396848,0.129592,0.250793,0.0520706
128,0.3,0,0.0960721,0.0697136,0.144519,0.0464704
128,0.3,1,0.108724,0.0700739,0.143056,0.0456598
128,0.3,2,0.0759919,0.0704553,0.147321,0.045077
128,0.4,0,0.0597745,0.0476569,0.103027,0.0456631
128,0.4,1,0.044623,0.0480413,0.104341,0.0441968
128,0.4,2,0.0559658,0.0481039,0.101885,0.0480711
128,0.5,0,0.0844498,0.0375938,0.0822754,0.044838
128,0.5,1,0.0455284,0.03755,0.0804119,0.0441265
128,0.5,2,0.0769711,0.03755,0.0821819,0.0469799
128,1,0,0.0651655,0.0191727,0.0760007,0.0125556
128,1,1,0.0651655,0.0191727,0.0760007,0.0125556
128,1,2,0.0651655,0.0191727,0.0760007,0.0125556
256,0.05,0,0.0950575,0.442529,0.694227,0.100756
256,0.05,1,0.0951529,0.446248,0.703096,0.10407
256,0.05,2,0.0919104,0.437951,0.678468,0.0993252
256,0.07,0,0.0638378,0.334321,0.512296,0.0907572
256,0.07,1,0.0605048,0.337958,0.514193,0.0921439
256,0.07,2,0.0678641,0.334358,0.504596,0.0898814
256,0.1,0,0.0535727,0.21413,0.338197,0.070411
256,0.1,1,0.0543952,0.212997,0.339472,0.0718951
256,0.1,2,0.0541747,0.213605,0.336719,0.0707626
256,0.15,0,0.0601848,0.113304,0.195373,0.0538588
256,0.15,1,0.0627809,0.1131,0.197551,0.0544919
256,0.15,2,0.058198,0.113514,0.195554,0.0520786
256,0.2,0,0.0557214,0.0729814,0.133266,0.0493959
256,0.2,1,0.055398,0.072889,0.132486,0.0450224
256,0.2,2,0.0618666,0.072585,0.132611,0.0434935
256,0.3,0,0.0658479,0.0424027,0.0830756,0.0518925
256,0.3,1,0.0500361,0.0425074,0.0834485,0.0506639
256,0.3,2,0.0499368,0.0424922,0.0848916,0.0513302
256,0.4,0,0.0601403,0.031044,0.069961,0.0519387
256,0.4,1,0.0624701,0.0310469,0.0632729,0.0502843
256,0.4,2,0.0432204,0.0309866,0.0667691,0.0511065
256,0.5,0,0.0834239,0.0330589,,0.0513043
256,0.5,1,0.0562282,0.0335321,,0.0495231
256,0.5,2,0.0406556,0.0333822,,0.0510852
256,1,0,,0.0209792,,0.0121213
256,1,1,,0.0209792,,0.0121213
256,1,2,,0.0209792,,0.0121213
384,0.05,0,0.0622078,0.367355,0.538671,0.109164
384,0.05,1,0.066736,0.366479,0.532186,0.110089
384,0.05,2,0.0712501,0.366939,0.531938,0.110598
384,0.07,0,0.0759119,0.257661,0.378824,0.0930752
384,0.07,1,0.0750072,0.256364,0.376788,0.0926967
384,0.07,2,0.0778041,0.256667,0.374413,0.0935221
384,0.1,0,0.080423,0.154282,0.237972,0.0691908
384,0.1,1,0.0773748,0.153932,0.238745,0.069152
384,0.1,2,0.0810464,0.15384,0.236197,0.0692138
384,0.15,0,0.0792892,0.0809053,0.137506,0.0477128
384,0.15,1,0.0671395,0.0808967,0.136888,0.0477112
384,0.15,2,0.0668765,0.0807107,0.137623,0.0474176
384,0.2,0,0.0625376,0.0535188,0.0965096,0.0488674
384,0.2,1,0.0645545,0.0532552,0.0976426,0.0499743
384,0.2,2,0.08165,0.0534618,0.0967202,0.0498321
384,0.3,0,0.065727,0.0345532,0.0671067,0.054112
384,0.3,1,0.0674375,0.0351955,0.0704489,0.0548663
384,0.3,2,0.0651956,0.0344357,0.0664915,0.0546561
384,0.4,0,0.0630327,0.041497,,0.0549012
384,0.4,1,0.0557479,0.0416037,,0.0537011
384,0.4,2,0.0551014,0.041498,,0.0536846
384,0.5,0,0.149332,0.0318869,0.0633054,0.0522724
384,0.5,1,0.123395,0.031882,,0.0532927
384,0.5,2,0.154752,0.0318433,,0.0513573
384,1,0,,0.0190039,,0.0119696
384,1,1,,0.0190039,,0.0119696
384,1,2,,0.0190039,,0.0119696
512,0.05,0,0.0819415,0.31566,0.444153,0.115401
512,0.05,1,0.0822723,0.315616,0.442615,0.114304
512,0.05,2,0.0755638,0.316605,0.443918,0.113434
512,0.07,0,0.0887212,0.210563,0.302129,0.0953811
512,0.07,1,0.0892808,0.21036,0.301958,0.0962235
512,0.07,2,0.0915463,0.21076,0.303254,0.0946604
512,0.1,0,0.0794917,0.120792,0.186785,0.0687331
512,0.1,1,0.0818193,0.120741,0.186139,0.0682503
512,0.1,2,0.0809774,0.120957,0.187082,0.0681415
512,0.15,0,0.0778668,0.0642227,0.108192,0.0468483
512,0.15,1,0.0864582,0.0642495,0.107435,0.0469473
512,0.15,2,0.0711285,0.0642293,0.108113,0.0467254
512,0.2,0,0.0665763,0.0434998,0.0778489,0.0520842
512,0.2,1,0.0785744,0.043417,0.0787297,0.0522593
512,0.2,2,0.0700237,0.0434471,0.0801928,0.0526894
512,0.3,0,0.0839183,0.0497757,,0.057334
512,0.3,1,0.0781664,0.0497357,,0.0568052
512,0.3,2,0.0816411,0.0498348,,0.058062
512,0.4,0,0.19614,0.0342298,,0.0555892
512,0.4,1,0.196847,0.0342188,,0.0571093
512,0.4,2,0.200392,0.0342769,,0.0554975
512,0.5,0,0.377341,0.0287488,,0.0530121
512,0.5,1,0.354105,0.0286367,,0.0536603
512,0.5,2,0.415096,0.0288296,,0.0531365
512,1,0,,0.0182186,0.263165,0.0120092
512,1,1,,0.0182186,0.263165,
512,1,2,,0.0182186,0.263165,
768,0.05,0,0.104324,0.249299,0.335969,0.119757
768,0.05,1,0.105545,0.24887,0.335096,0.120022
768,0.05,2,0.100739,0.249513,0.335941,0.120558
768,0.07,0,0.0962631,0.153141,0.214334,0.0952706
768,0.07,1,0.0953584,0.153265,0.214072,0.0947484
768,0.07,2,0.107626,0.153305,0.215328,0.0951205
768,0.1,0,0.100522,0.085813,0.130083,0.06821
768,0.1,1,0.0983062,0.0857124,0.129894,0.0682052
768,0.1,2,0.08724,0.0858386,0.130065,0.0680948
768,0.15,0,0.0898553,0.0524255,0.0880628,0.051843
768,0.15,1,0.0722193,0.0517568,0.0848962,0.0511646
768,0.15,2,0.0925943,0.0519547,0.0860243,0.0518893
768,0.2,0,0.108489,0.0656317,,0.0577923
768,0.2,1,0.111721,0.0655078,,0.057101
768,0.2,2,0.102327,0.0657658,,0.0573094
768,0.3,0,0.269304,0.0373495,,0.0608891
768,0.3,1,0.273903,0.0373899,,0.0601252
768,0.3,2,0.259404,0.0373603,,0.0607074
768,0.4,0,,0.0308961,,
768,0.4,1,,0.0309228,,
768,0.4,2,,0.0308818,,
768,0.5,0,,0.0255927,0.0572314,0.0770138
768,0.5,1,,,,0.0768048
768,0.5,2,,,,0.0774364
768,1,0,,0.0173771,0.169435,
768,1,1,,0.0173771,0.169435,
768,1,2,,0.0173771,0.169435,
