cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz,config,matrix_size,density_A,density_B,run
736054,10728708,,0.181337,0.375,56517,4507189,5620316,14.575979,8.831746,0.0,210.434669,1.532735,168.819259,20.154135,9e-05,1.648279,6703552,6709952,1048537,multi-b-row,1024,10,10,0
323777,2697071,,0.100541,0.195312,22522,1460635,2065541,8.330027,4.645213,0.0,230.248217,0.333408,213.604969,10.544152,0.0,0.573355,3032222,3370816,969020,multi-b-row,1024,5,5,0
11503,168141,,0.213717,0.363281,6456,87907,129909,14.617143,23.363383,0.0,200.932452,2.591498,190.528558,8.057985,0.003477,1.913501,98310,105088,60563,multi-b-row,256,10,10,0
3955,41593,,0.152444,0.25,3693,22183,38656,10.516561,17.539317,0.0,216.132743,0.73603,211.999747,3.628066,0.005057,1.083186,25623,52032,30763,multi-b-row,256,5,5,0
89965,1327492,,0.193687,0.339844,20299,671643,893512,14.755649,15.039916,0.0,206.414728,2.052076,181.383538,14.237037,0.0,1.904107,816662,826624,260479,multi-b-row,512,10,10,0
36840,330549,,0.111587,0.203125,8979,186534,284942,8.972557,7.459121,0.0,227.329506,0.522557,215.977063,6.482329,0.0,0.758605,300734,413952,188301,multi-b-row,512,5,5,0
1201227,10728708,,0.107148,0.261719,57062,4604860,5706687,8.931458,3.355778,0.0,228.986643,0.025041,196.761375,16.820896,0.0,0.691485,6703552,6709952,1048537,no-k-reorder,1024,10,10,0
436349,2697071,,0.073749,0.179688,22400,1473674,2076675,6.180995,2.674676,0.0,237.110311,0.0,222.454345,9.532956,0.0,0.361468,3032222,3370816,969020,no-k-reorder,1024,5,5,0
18053,168141,,0.117147,0.238281,6466,90109,131541,9.313743,7.879854,0.0,225.783471,0.0,212.35213,7.307871,0.0,0.942281,98310,105088,60563,no-k-reorder,256,10,10,0
5238,41593,,0.103869,0.203125,3792,22290,38788,7.940626,9.09202,0.0,228.77415,0.0,221.72375,3.578465,0.0,0.624475,25623,52032,30763,no-k-reorder,256,5,5,0
144619,1327492,,0.11243,0.253906,20687,686801,905890,9.179236,5.607984,0.0,227.204074,0.004024,205.50131,12.189615,0.0,0.815266,816662,826624,260479,no-k-reorder,512,10,10,0
49477,330549,,0.081204,0.1875,8943,188168,286290,6.680862,4.290135,0.0,235.134264,0.0,224.655395,6.049599,0.0,0.470259,300734,413952,188301,no-k-reorder,512,5,5,0
717372,10728708,,0.186704,0.363281,56637,4548558,5659872,14.955571,9.389994,0.0,209.054307,0.045367,164.012926,24.102478,0.000121,1.79569,6703552,6709952,1048537,segfold,1024,10,10,0
320343,2697071,,0.101553,0.203125,22575,1465438,2069152,8.419322,4.676309,0.0,229.989034,0.000178,212.134759,11.995218,0.0,0.589721,3032222,3370816,969020,segfold,1024,5,5,0
11109,168141,,0.231072,0.417969,6380,87893,130267,15.135566,27.139887,0.0,196.454676,0.0,190.26276,9.017643,0.030786,2.089117,98310,105088,60563,segfold,256,10,10,0
3864,41593,,0.159225,0.289062,3756,22234,38676,10.764234,18.910455,0.0,214.37707,0.0,211.546066,3.947981,0.010352,1.088509,25623,52032,30763,segfold,256,5,5,0
86943,1327492,,0.20301,0.355469,20503,676889,898495,15.268532,16.570374,0.0,204.025637,0.01141,178.799397,16.667403,0.0,2.065928,816662,826624,260479,segfold,512,10,10,0
36260,330549,,0.11345,0.207031,9117,186917,285172,9.116078,7.648483,0.0,226.857887,0.0,215.262493,7.271153,0.0,0.768229,300734,413952,188301,segfold,512,5,5,0
